timestamp,open,high,low,close,volume

2018-06-13,101.7200,102.0100,100.5700,100.9200,14870776

2018-06-12,101.1000,101.4493,100.7500,101.3100,18072705

2018-06-11,101.3700,101.5900,100.6700,101.0500,23490894

2018-06-08,101.0924,101.9500,100.5400,101.6300,22165128

2018-06-07,102.6500,102.6900,100.3800,100.8800,28232197

2018-06-06,102.4800,102.6000,101.9000,102.4900,21122917

2018-06-05,102.0000,102.3300,101.5300,102.1900,23514402

2018-06-04,101.2600,101.8600,100.8510,101.6700,27281623

2018-06-01,99.2798,100.8600,99.1700,100.7900,28655624

2018-05-31,99.2900,99.9900,98.6100,98.8400,34140891

2018-05-30,98.3100,99.2500,97.9100,98.9500,22158528

2018-05-29,97.8400,98.8800,97.2300,98.0100,28670981

2018-05-25,98.3000,98.9800,97.8600,98.3600,18363918

2018-05-24,98.7250,98.9400,96.8100,98.3100,26649287

2018-05-23,96.7100,98.7300,96.3200,98.6600,21251222

2018-05-22,97.6800,98.1700,97.2000,97.5000,15441189

2018-05-21,97.0000,98.0100,96.8000,97.6000,19422467

2018-05-18,96.0100,96.9300,96.0100,96.3600,17865840

2018-05-17,96.7600,97.5401,95.8300,96.1800,17246716

2018-05-16,97.3600,97.4000,96.6150,97.1500,17384742

2018-05-15,97.2400,97.8500,96.3400,97.3200,24594010

2018-05-14,97.9200,98.6900,97.3100,98.0300,19454124

2018-05-11,97.8000,97.8700,97.0400,97.7000,16778316

2018-05-10,97.4600,97.9500,97.0500,97.9100,22388119

2018-05-09,96.0100,96.9700,95.0500,96.9400,27327410

2018-05-08,95.8456,96.1600,95.0631,95.8100,23484589

2018-05-07,95.1700,96.7100,95.1000,96.2200,24242019

2018-05-04,93.3200,95.3700,92.9200,95.1600,22531325

2018-05-03,92.9600,94.9250,92.4500,94.0700,31142497

2018-05-02,94.9900,95.1700,93.1900,93.5100,27471002

2018-05-01,93.2100,95.2900,92.7900,95.0000,31408927

2018-04-30,96.3300,96.3964,93.1500,93.5200,41523605

2018-04-27,97.6000,97.9000,93.9100,95.8200,48272780

2018-04-26,93.5500,95.1500,93.1000,94.2600,42529043

2018-04-25,93.3000,93.3000,90.2800,92.3100,33729257

2018-04-24,96.2420,96.4700,92.4100,93.1200,34524799

2018-04-23,95.7436,96.2900,94.6300,95.3500,22331829

2018-04-20,95.9100,96.1100,94.0500,95.0000,31154377

2018-04-19,96.4400,97.0700,95.3400,96.1100,23552541

2018-04-18,96.2200,96.7200,95.5200,96.4400,21043287

2018-04-17,95.0000,96.5400,94.8800,96.0700,26771000

2018-04-16,94.0700,94.6600,93.4200,94.1700,20288083

2018-04-13,94.0500,94.1800,92.4400,93.0800,23346063

2018-04-12,92.4300,94.1600,92.4300,93.5800,26758879

2018-04-11,92.0100,93.2900,91.4800,91.8600,24872110

2018-04-10,92.3900,93.2800,91.6400,92.8800,26939883

2018-04-09,91.0400,93.1700,90.6200,90.7700,31533943

2018-04-06,91.4900,92.4600,89.4800,90.2300,38026000

2018-04-05,92.4350,93.0650,91.4000,92.3800,29771881

2018-04-04,87.8500,92.7600,87.7300,92.3300,35559956

2018-04-03,89.5750,90.0500,87.8900,89.7100,37213837

2018-04-02,90.4700,90.8800,87.5100,88.5200,48515417

2018-03-29,90.1800,92.2900,88.4000,91.2700,45867548

2018-03-28,89.8200,91.2300,88.8730,89.3900,52501146

2018-03-27,94.9400,95.1390,88.5100,89.4700,53704562

2018-03-26,90.6100,94.0000,90.4000,93.7800,55031149

2018-03-23,89.5000,90.4600,87.0800,87.1800,42159397

2018-03-22,91.2650,91.7500,89.6600,89.7900,37578166

2018-03-21,92.9300,94.0500,92.2100,92.4800,23753263

2018-03-20,93.0500,93.7700,93.0000,93.1300,21787780

2018-03-19,93.7400,93.9000,92.1100,92.8900,31752589

2018-03-16,94.6800,95.3800,93.9200,94.6000,47329521

2018-03-15,93.5300,94.5800,92.8300,94.1800,26279014

2018-03-14,95.1200,95.4100,93.5000,93.8500,31576898

2018-03-13,97.0000,97.2400,93.9700,94.4100,34445391

2018-03-12,96.5000,97.2100,96.0400,96.7700,25333720

2018-03-09,95.2900,96.5400,95.0000,96.5400,36145524

2018-03-08,94.2700,95.1000,93.7650,94.4300,24861307

2018-03-07,93.1600,93.9406,92.4300,93.8600,26716127

2018-03-06,94.3400,94.4900,92.9410,93.3200,22175776

2018-03-05,92.3400,94.2700,92.2600,93.6400,23901578

2018-03-02,91.5800,93.1500,90.8600,93.0500,32830389

2018-03-01,93.9900,94.5700,91.8400,92.8500,37135561

2018-02-28,94.8400,95.7050,93.6300,93.7700,29314525

2018-02-27,95.7400,95.8400,94.2000,94.2000,25540755

2018-02-26,94.4000,95.4500,94.2500,95.4200,29760276

2018-02-23,92.7500,94.0700,92.3600,94.0600,25779955

2018-02-22,92.0500,92.7300,91.3600,91.7300,22723756

2018-02-21,92.9800,93.3595,91.4900,91.4900,26081953

2018-02-20,91.4750,93.0600,91.0100,92.7200,30107057

2018-02-16,92.4500,93.5000,91.8000,92.0000,30188535

2018-02-15,91.2100,92.7200,90.6200,92.6600,27407914

2018-02-14,88.5100,90.9900,88.4100,90.8100,34314101

2018-02-13,88.9300,90.0000,87.8000,89.8300,26200053

2018-02-12,88.7350,89.7800,87.9295,89.1300,35501368

2018-02-09,86.3000,88.9300,83.8300,88.1800,57408480

2018-02-08,89.7100,89.8750,84.7600,85.0100,47485202

2018-02-07,90.4900,91.7700,89.2000,89.6100,40340551

2018-02-06,86.8900,91.4750,85.2500,91.3300,66157030

2018-02-05,90.5600,93.2400,88.0000,88.0000,42253469

2018-02-02,93.6400,93.9700,91.5000,91.7800,47076959

2018-02-01,94.7900,96.0700,93.5813,94.2600,46645657

2018-01-31,93.7500,95.4000,93.5100,95.0100,44284284

2018-01-30,93.3000,93.6600,92.1000,92.7400,34153798

2018-01-29,95.1400,95.4500,93.7200,93.9200,30409620

2018-01-26,93.1200,94.0600,92.5800,94.0600,26348999

2018-01-25,92.4650,93.2400,91.9300,92.3300,23983094

2018-01-24,92.5500,93.4300,91.5800,91.8200,32107765

2018-01-23,91.9000,92.3000,91.5400,91.9000,22283365

2018-01-22,90.0000,91.6200,89.7400,91.6100,23190700

